metric,value,std,unit
multi_mutant_ddg,-7.710,0.198,REU
individual_sum_ddg,-10.020,,REU
epistatic_effect,2.310,,REU

energy_term,wt_mean,mut_mean,difference,std
fa_atr,-927.156,-936.454,-9.298,0.431
fa_rep,64.283,65.818,1.535,0.470
fa_sol,483.280,482.584,-0.696,0.928
fa_elec,-232.049,-232.223,-0.174,0.768
hbond_bb_sc,-29.238,-28.616,0.622,0.045
hbond_sc,-15.242,-16.042,-0.800,0.564
fa_dun,142.462,139.061,-3.401,0.217
p_aa_pp,-26.415,-27.875,-1.460,0.014
ref,59.124,66.542,7.418,0.000
rama_prepro,-4.506,-5.293,-0.787,0.013
cart_bonded,73.268,73.888,0.620,0.336
omega,27.451,28.373,0.923,0.017
